"Data","Articoli al giorno","Articoli cumulati"
"2020-01-01",4,4
"2020-01-02",,4
"2020-01-03",,4
"2020-01-04",1,5
"2020-01-05",,5
"2020-01-06",,5
"2020-01-07",,5
"2020-01-08",,5
"2020-01-09",,5
"2020-01-10",,5
"2020-01-11",,5
"2020-01-12",,5
"2020-01-13",,5
"2020-01-14",,5
"2020-01-15",,5
"2020-01-16",,5
"2020-01-17",,5
"2020-01-18",,5
"2020-01-19",,5
"2020-01-20",,5
"2020-01-21",,5
"2020-01-22",1,6
"2020-01-23",,6
"2020-01-24",,6
"2020-01-25",,6
"2020-01-26",,6
"2020-01-27",,6
"2020-01-28",,6
"2020-01-29",,6
"2020-01-30",1,7
"2020-01-31",2,9
"2020-02-01",17,26
"2020-02-02",,26
"2020-02-03",,26
"2020-02-04",1,27
"2020-02-05",1,28
"2020-02-06",1,29
"2020-02-07",1,30
"2020-02-08",,30
"2020-02-09",1,31
"2020-02-10",,31
"2020-02-11",2,33
"2020-02-12",4,37
"2020-02-13",,37
"2020-02-14",4,41
"2020-02-15",,41
"2020-02-16",,41
"2020-02-17",3,44
"2020-02-18",,44
"2020-02-19",2,46
"2020-02-20",4,50
"2020-02-21",,50
"2020-02-22",4,54
"2020-02-23",,54
"2020-02-24",6,60
"2020-02-25",3,63
"2020-02-26",3,66
"2020-02-27",2,68
"2020-02-28",8,76
"2020-02-29",3,79
"2020-03-01",22,101
"2020-03-02",2,103
"2020-03-03",2,105
"2020-03-04",6,111
"2020-03-05",4,115
"2020-03-06",6,121
"2020-03-07",1,122
"2020-03-08",1,123
"2020-03-09",4,127
"2020-03-10",2,129
"2020-03-11",2,131
"2020-03-12",4,135
"2020-03-13",5,140
"2020-03-14",2,142
"2020-03-15",3,145
"2020-03-16",8,153
"2020-03-17",3,156
"2020-03-18",4,160
"2020-03-19",5,165
"2020-03-20",13,178
"2020-03-21",3,181
"2020-03-22",,181
"2020-03-23",5,186
"2020-03-24",9,195
"2020-03-25",11,206
"2020-03-26",13,219
"2020-03-27",12,231
"2020-03-28",5,236
"2020-03-29",10,246
"2020-03-30",11,257
"2020-03-31",10,267
"2020-04-01",18,285
"2020-04-02",18,303
"2020-04-03",14,317
"2020-04-04",9,326
"2020-04-05",4,330
"2020-04-06",9,339
"2020-04-07",17,356
"2020-04-08",11,367
"2020-04-09",8,375
"2020-04-10",22,397
"2020-04-11",8,405
"2020-04-12",6,411
"2020-04-13",22,433
"2020-04-14",9,442
"2020-04-15",13,455
"2020-04-16",25,480
"2020-04-17",11,491
"2020-04-18",16,507
"2020-04-19",7,514
"2020-04-20",10,524
"2020-04-21",2,526
"2020-04-22",30,556
"2020-04-23",9,565
"2020-04-24",37,602
"2020-04-25",14,616
"2020-04-26",,616
